Title,Description,Project,Status,Priority,Label,Estimate
"Review SmartGen project structure and documentation","Analyze smartgen/ directory, read architecture docs, understand current state","SmartGen","Completed","Low","review",""
"Examine Smart Book live deployment","Check smart-book/ STATUS.md, verify live pages, review print-book.html","Smart Book","Completed","Low","review",""
"Review Smart Deck Agent implementation","Audit vidismart.deck.agent.html and icons/public_html/vidismart.deck.agent.html","Smart Deck","Completed","Low","review",""
"Analyze Railway deployment configuration","Review railway.json, DUAL_DEPLOYMENT_PIPELINE.md, verify services","SmartGen","Completed","Medium","infrastructure",""
"Check Directus integration for Smart Book","Verify vidicrm.com Directus connection, site_pages collection","Smart Book","Completed","Medium","integration",""
"Identify gaps in SmartGen implementation","Create SmartGenGapAnalyzer.js, document missing components","SmartGen","Completed","High","analysis",""
"Plan Smart Stack Generator enhancements","Define functional requirements for smartgen improvements","SmartGen","Completed","Medium","planning",""
"Implement Smart Book Agent improvements","Fix image pathing, meta tags, two-column layout, lightbox, scroll progress","Smart Book","Completed","High","bugfix",""
"Plan Smart Deck Agent enhancements","Design UI improvements for deck agent","Smart Deck","Completed","Medium","planning",""
"Create gap analysis report","Document all 7 critical gaps in GAP_ANALYSIS_REPORT.md","SmartGen","Completed","High","documentation",""
"Run migration dry-run","Execute migrate-to-directus.js --dry-run, verify 154 files ready","Smart Book","Completed","Medium","migration",""
"Audit HTML pages on disk","Find all 168 HTML files, categorize by type","Smart Book","Completed","Low","audit",""
"Create book_chapters collection in Directus","Design schema for 39 book chapters, create collection via Directus API","Smart Book","Backlog","High","cms,blocked",""
"Re-auth Railway CLI and verify deployments","Run railway login, check all services are running, verify domains","SmartGen","Backlog","High","infrastructure",""
"Enable PostGIS in docker-compose.yml","Add PostGIS extension to converge/docker-compose.yml postgres service","SmartGen","Backlog","Medium","database",""
"Build real Vespa integration test","Create test script that connects to actual Vespa instance, verify vector search","SmartGen","Backlog","High","testing,vector",""
"Create Kafka consumer skeleton","Implement basic Kafka consumer for real-time feedback loop","SmartGen","Backlog","Medium","infrastructure,kafka",""
"Execute actual migration to Directus","Run migrate-to-directus.js with DIRECTUS_ACCESS_TOKEN, migrate 154 HTML pages","Smart Book","Backlog","Critical","migration,blocked",""
"Set up VidiPitch manufacturer portal","Build Next.js + Plasmic project with Clerk auth, video upload, dashboard","VidiPitch","Backlog","Critical","feature",""
"Deploy SmartChannel CX platform","Initialize Next.js 14 with Remotion, build video editor, deploy","SmartChannel","Backlog","Critical","feature",""
"Configure Resend SMTP for email","Set up Resend API keys, test email sending, configure templates","Infrastructure","Backlog","Medium","email",""
"Set up Cloudflare R2 storage","Create R2 bucket, configure CDN, migrate media assets","Infrastructure","Backlog","Medium","storage",""
"Build Visual Vector 3D dashboard","Create Three.js visualization of vector database with UMAP projection","SmartGen","Backlog","High","feature,vector",""
"Implement Neo4j GraphRAG","Set up Neo4j, build graph extraction pipeline, integrate with Vespa","SmartGen","Backlog","High","feature,graph",""
"Create agent orchestration system","Build coordinator-agent.js, coder-agent.js, research-agent.js workers","SmartGen","Backlog","High","agents",""
"Migrate VidiPitch pages to Directus","Migrate all VidiPitch-branded pages from site_pages collection to VidiSmart","VidiPitch","Backlog","High","migration",""
"Set up GitHub Actions dual deploy","Create .github/workflows/deploy.yml for Railway + SiteGround","Infrastructure","Backlog","Medium","ci-cd",""
"Configure domain for Smart Book","Set up custom domain for smart-book reader, configure DNS","Smart Book","Backlog","Low","infrastructure",""
"Build SmartStack chapter data","Create data-smartstack-chapters.js content for all chapters","Smart Book","Backlog","Medium","content",""
"Test Qwen AI agent integration","Verify qwen-agent.js works with OpenRouter, test chat functionality","Smart Book","Backlog","Medium","ai,integration",""
